Id,Nro víctimas,Año,Mes,Día,Hora estandar,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Hora,Rol,Sexo,Edad,FECHA_FALLECIMIENTO,BARRIOS,AREA
2019-0057,1,2019,Julio,Viernes,19,CALLE,SI,ARTILLEROS y LA PAMPA,13,-58.44196498,-34.55760517,PEATON-AUTO,PEATON,AUTO,19,PEATON,FEMENINO,63,7/8/2019,BELGRANO - COLEGIALES - NUÑEZ,14713213.1821
2019-0058,1,2019,Julio,Miércoles,9,AUTOPISTA,NO,AUTOPISTA PERITO MORENO e IRIGOYEN,10,-58.50622631,-34.63627822,MOTO-PASAJEROS,MOTO,PASAJEROS,9,CONDUCTOR,MASCULINO,39,7/10/2019,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,12656556.9378
2019-0059,1,2019,Julio,Sábado,22,CALLE,SI,15 DE NOVIEMBRE DE 1889 y SANTIAGO DEL ESTERO,1,-58.3841088,-34.63099197,MOTO-PASAJEROS,MOTO,PASAJEROS,22,CONDUCTOR,MASCULINO,30,7/13/2019,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2019-0060,1,2019,Julio,Miércoles,11,AVENIDA,SI,"ACOSTA, MARIANO AV. y FALCON, RAMON L.,CNEL.",10,-58.48100602,-34.63504312,PEATON-AUTO,PEATON,AUTO,11,PEATON,FEMENINO,78,7/17/2019,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,12656556.9378
2019-0061,1,2019,Julio,Miércoles,18,CALLE,SI,11 DE SEPTIEMBRE DE 1888 y MENDOZA,13,-58.45200171,-34.5578132,PEATON-PASAJEROS,PEATON,PASAJEROS,18,PEATON,FEMENINO,58,7/17/2019,BELGRANO - COLEGIALES - NUÑEZ,14713213.1821
2019-0062,1,2019,Agosto,Jueves,23,AVENIDA,SI,"PINO, VIRREY DEL y CAMPOS, LUIS M. AV.",13,-58.44462132,-34.56201105,PEATON-PASAJEROS,PEATON,PASAJEROS,23,PEATON,FEMENINO,60,8/2/2019,BELGRANO - COLEGIALES - NUÑEZ,14713213.1821
2019-0063,1,2019,Agosto,Domingo,1,AVENIDA,SI,FOREST AV. y MAURE,15,-58.45220688,-34.58711712,MOTO-PASAJEROS,MOTO,PASAJEROS,1,PASAJERO_ACOMPAÑANTE,MASCULINO,0,8/4/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0064,1,2019,Agosto,Martes,3,AVENIDA,SI,BOYACA AV. y AVELLANEDA AV.,7,-58.4596221,-34.6224514,MOTO-AUTO,MOTO,AUTO,3,CONDUCTOR,MASCULINO,20,8/6/2019,FLORES - PARQUE CHACABUCO,12422900.8308
2019-0065,1,2019,Agosto,Jueves,16,CALLE,SI,BARCO CENTENERA DEL y TILCARA,4,-58.4197085,-34.65414867,PEATON-PASAJEROS,PEATON,PASAJEROS,16,PEATON,FEMENINO,55,8/9/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0066,1,2019,Agosto,Domingo,21,AVENIDA,SI,RIESTRA AV. y BOLIVAR (NO OFICIAL),7,-58.44187596,-34.64938031,PEATON-AUTO,PEATON,AUTO,21,PEATON,MASCULINO,40,8/11/2019,FLORES - PARQUE CHACABUCO,12422900.8308
2019-0067,1,2019,Agosto,Miércoles,15,CALLE,NO,"CASTRO, EMILIO 4706",10,-58.49101637,-34.64276621,MOTO-CARGAS,MOTO,CARGAS,15,CONDUCTOR,MASCULINO,35,8/14/2019,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,12656556.9378
2019-0068,1,2019,Agosto,Miércoles,17,AVENIDA,NO,27 DE FEBRERO AV. 5600,8,-58.42493829,-34.66256502,MOTO-MOTO,MOTO,MOTO,17,CONDUCTOR,MASCULINO,53,8/14/2019,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2019-0069,1,2019,Agosto,Sábado,5,AVENIDA,NO,"GARAY, JUAN DE AV. 2874",4,-58.40489318,-34.62930162,MOTO-AUTO,MOTO,AUTO,5,CONDUCTOR,MASCULINO,43,8/17/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0070,1,2019,Agosto,Jueves,12,AVENIDA,SI,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",14,-58.4268668,-34.59217875,MOTO-BICICLETA,MOTO,BICICLETA,12,CONDUCTOR,MASCULINO,25,8/22/2019,PALERMO,15845871.2876
2019-0071,1,2019,Agosto,Martes,11,AVENIDA,SI,PRIMERA JUNTA y OLIVERA AV.,9,-58.479611,-34.65620398,PEATON-CARGAS,PEATON,CARGAS,11,PEATON,MASCULINO,0,8/27/2019,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2019-0072,1,2019,Agosto,Miércoles,6,AVENIDA,SI,"ALBERDI, JUAN BAUTISTA AV. y AZUL",10,-58.47439934,-34.63524207,AUTO-AUTO,AUTO,AUTO,6,CONDUCTOR,MASCULINO,22,9/2/2019,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,12656556.9378
2019-0073,1,2019,Agosto,Jueves,1,AVENIDA,NO,ALVAREZ THOMAS AV. 1788,15,-58.46711912,-34.57926018,AUTO-OBJETO FIJO,AUTO,AUTO,1,CONDUCTOR,MASCULINO,29,9/6/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0074,1,2019,Agosto,Jueves,9,AUTOPISTA,SI,"LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.",13,-58.46514781,-34.53465378,MOTO-CARGAS,MOTO,CARGAS,9,CONDUCTOR,MASCULINO,35,8/29/2019,BELGRANO - COLEGIALES - NUÑEZ,14713213.1821
2019-0075,1,2019,Agosto,Viernes,23,CALLE,SI,SAN ANTONIO y LUJAN,4,-58.37571078,-34.65584079,MOTO-PASAJEROS,MOTO,PASAJEROS,23,CONDUCTOR,MASCULINO,31,8/30/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0076,1,2019,Septiembre,Jueves,18,AUTOPISTA,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO-CARGAS,MOTO,CARGAS,18,CONDUCTOR,FEMENINO,29,9/5/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0077,1,2019,Septiembre,Domingo,3,AVENIDA,SI,"FIGUEROA ALCORTA, PRES. AV. y TAGLE",14,-58.39811256,-34.58070186,PEATON-AUTO,PEATON,AUTO,3,PEATON,FEMENINO,28,9/8/2019,PALERMO,15845871.2876
2019-0078,1,2019,Septiembre,Jueves,8,AVENIDA,SI,"EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.",4,-58.41125934,-34.6541774,PEATON-CARGAS,PEATON,CARGAS,8,PEATON,FEMENINO,72,9/15/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0079,1,2019,Septiembre,Martes,5,CALLE,SI,AGRELO y COLOMBRES,5,-58.41822901,-34.61866836,MOTO-PASAJEROS,MOTO,PASAJEROS,5,CONDUCTOR,MASCULINO,57,9/17/2019,ALMAGRO - BOEDO,6660603.11937
